Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
30/06/2006,VAST RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,2.8
20/10/2003,VELA TECHNOLOGIES PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,1.14
18/05/2017,VELOCITY COMPOSITES PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,17.01
28/03/2014,VENTURE LIFE GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,44.18
03/11/2020,VERICI DX PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,9.1
12/06/2013,VERSARIEN PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,1.43
27/03/2007,VERTU MOTORS PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,176.03
17/12/2012,VESUVIUS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"1,044.25"
02/02/2021,VH GLOBAL ENERGY INFRASTRUCTURE PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,212.94
26/10/2006,VIANET GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,25.95
22/06/2021,VICTORIAN PLUMBING GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,350.4
16/12/2013,VICTORIA PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,126.18
21/12/1995,VICTREX PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,863.39
18/12/1972,VIDENDUM PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,94.2
05/07/2016,VIETNAM ENTERPRISE INVESTMENTS LIMITED,Financials,Financial Services ,Cayman Islands,North America,MAIN MARKET ,Yes,"1,110.53"
15/06/2006,VIETNAM HOLDING LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,98.02
30/09/2003,VINACAPITAL VIETNAM OPPORTUNITY FUND LD,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,663.36
13/01/2025,VINANZ LIMITED,Financials,Financial Services ,British Virgin Islands,North America,MAIN MARKET ,Yes,47.95
02/03/2021,VIRGIN WINES UK PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,16.98
09/12/1997,VISTRY GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"1,976.86"
26/10/1988,VODAFONE GROUP PLC,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET ,No,"17,439.16"
20/07/1939,VOLEX PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,535.14
29/05/2015,VOLTA FINANCE LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,187.48
23/06/2014,VOLUTION GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,"1,055.52"
24/12/2002,VOLVERE PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,38.32
19/01/2015,VOX VALOR CAPITAL LIMITED,Consumer Discretionary,Media,Cayman Islands,North America,MAIN MARKET ,Yes,4.74
17/03/2015,VPC SPECIALTY LENDING INVESTMENTS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,79.31
06/04/1973,VP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,240.93
